text,toxic
"У дворі роблять дорогу, починають шуміти о 8-й ранку, але приємно, що нарешті її роблять!!!",0
І знову дві години на прокидання.,0
"Хочу заплющити очі, розплющити - і вже все стало нормально.",0
Ваш ділер годних серіалів приніс вам особливий товар.,0
"Тому він блукає по світу зі світильником, шукає куди приткнутися.",0
А я ж їх більше за м'ясо люблю,0
ЯК ВЗАГАЛІ МОЖНА СУДИТИ ПРО ТАКІ РЕЧІ?,0
"Якщо не думати про певні проблеми, то жити дуже навіть можна.",0
"НАписали, що я допоміг вивчити латину.",0
"найменша сестра принесла, середуща взяла під свою відповідальність. вже три місяці має",0
"Люблю ці всі уловкі мозку: хвилину тому ти розмірковував про Шопенгауера, і ось раптом починаєш наспівувати ""Запахло весной"".",0
По-перше не люблю троянди  По-друге червоні троянди то вульгарщина  По-третє кайфую від цього фото,0
"- Мені, будь ласка, бургер і колу - Молодий чоловіче, ви в бібліотеці!",0
"Ну, це тіпа добре, коли хвалять.",0
"Я не те, щоб фетишист, але я люблю речі, котрі купую.",0
Бо я щось зовсім від новин відвик...,0
"В метро на ескалаторі дєфка фоткає себе, кохану, на айпедик (це я не про себе) 8) *їде на роботу*",0
"Мені кожне 1 вересня, як виклик.",0
"сучасні SSD вже доволі розумні, щоб писати рівномірно і їх вистачає на довго. це у перших моделях були проблеми.",0
"Таня, навчися перекладати таблетки в сумку!",0
"У Медведчука він недавно питав пораду про обивку для меблів, мабуть",0
Тоді потрібно і самій цим не займатися.,0
"Біля філологічного факультету, на лавочці, сидять двоє.",0
"Чемі хатіа самшобло, сахате мтелі квекана (моя ікона — Батьківщина, підіконник — вся країна)",0
І ось нарешті щось годне під'їхало.,0
скоро буду своєю серед чужих))) ахаха,0
"- Знаю, шо ти нічого не хотіла на ДН, але ось тобі малееенький подаруночок!",0
Найсумніша історія в світі: барига пішов продавати страхівки.,0
"Треба було бачити ті фігури, які я виписувала, щоб не розтовкти його об інших пасажирів, поки не сіла.",0
А мальчик навпроти мене наблював повний пакєт і на маму слєгка,0
"Отакий ідіотизм, тому мені й не подобалось =)",0
Привітаєм же запальну Жанну д'Арк - у неї сьогодні дн),0
у мордорі поширила лінк: Flash mob in the Copenhagen Metro.,0
У Кувейті та ОАЕ – винесено тюремні вироки блогерам Twitter,0
"Часто буває, що всередині все одно маленька дівчинка.",0
"У фільмі навіть зими не було, але він здався різдв'яним.",0
"Обіцянки виконую,  тримай...нічого особливого,але рушник вишивала дооовго :",0
"Хіба від різних снобів, які силують себе правільним проізношенієм.",0
"Не привезу тобі ніц з Польщі.	0
Це буде третій підряд у моїй френдстрічці пост про Сьомого сина.	0
Я що запитати хтів у свідків блокади & рєдутів: українських полонених вже всіх відпустили?	0
Люблю йти пішки прохолодними ранками, з рюкзаком за плечима.	0
Тебе не силують зустрічатися з ним.	0
Ой блін,  що ж скаже мама	0
Я собі й дитині купую здебільшого литовську молочку...	0
-Діма, не можна вирішувати проблеми в житті стікерами з телеграму.	0
А тут я поплила від смакоти І вдома бачу виробник-	0
Чувак на Хрещатику мені запальничку подарував) І взагалі постояв з нами про життя поговорив, люблю таке	0
Я в душ, а зранку зроблю домашку.	0
#Львів, у Сколе двіжуха — силовики блокують базу #ПравийСектор.	0
Не люблю коли хтось бере в руки мій телефон	0
Якщо б збрехав, а я цього не люблю, то також би образилися.	0
В мене одне питання: якщо все перманентно херово, як можна взагалі так жити?	0
ех а в мене цей альбом улюблений	0
У вас - зеленая аура"" Гии, зелений - мій улюблений колір :з",0
Федерер обіграв Джоковича в півфіналі Ролан Гарросу!,0
"Шрайк, як завжди, блискучий #апалчєнци",0
"Лейтмотивом выставки стал тезис «Современное искусство как место для селфи».  та інші проблеми, які цікавлять сучасних харківських митців",0
В сучасній психіатрії твердження Ломброзо вважаються хибними.,0
Таня не має цього читати!!!* оу.,0
Да щось актуальне в стрічці промайнуло.,0
колись улюблена пісня) раніше напам'ять знала,0
"Чи вже пояснив ребе, яку високу ціль переслідувало НАБУ прослуховуючи _не_ держслужбовця категорії А?",0
"Карма, Морда, Бомжетта... давай, навчися запам*ятовувати імена всіх їхніх котів. це ж красивіше, ніж просто в обличчя. південь, любов моя",0
"Декламують щось, кричать, напарфумлені араби один одного перекрикують...",0
Мене аж тіпати почало Переживаю дуже #Eurovision,0
Нарізав вам фрагменти вчорашнього ефіру з Мураєвим.,0
"п'ятниця, 15 група на стрілецькому спорті помічає цей нефіговий збіг :)",0
"Чоловік: поки виймав з шафи сіль, картопля на плиті згоріла.",0
"Як, як я могла повірити, що прокляття перетворилося у блаженство?",0
Олександр Деркач: АПОКАЛІПСИС UA,0
"А людей стільки вже, що в мене скоро панічні атаки почнуться від того натовпу.",0
"В стельку-так, але без особливого задоволення від спілкування",0
"Скоро заведу блог ""какой не надо бить женой"" і буду записувати вислови дружини брата. . .",0
Мій патронус - пити багато днів підряд.,0
та шо блін)00) ти он тоже класнінька і нічьо)00,0
Цього разу навіть мої рейкери не витримали — промокли.,0
У тому сні ше фігурував єврейський цвинтар!,0
Бо це так #мімімі Люблю вас  і Саша,0
"Тато: ой прям, це ж не яєшня!",0
А тут чекають щоб прям щяс.,0
"Канєшно плоха шо баріста ушол от мєня, але добре, що тепер можна прийти до нього на мій ідеальний капуч",0
"Ванья, от дєнатурата слєпнут і умірают.",0
В твоїх очах відблиски вогню кличуть сліпим мовчанням безпровідного божевілля,0
Знайомтесь (як каже Roman Sinicyn) - це Книрік.,0
"Співпраця з опініан-лідерами - так, але щоб когось одного...",0
І навіть спростування УГКЦ на мене не подіяло!,0
Взагалі як я не шукала якихось класних гейських сюжетних ліній - ніфіга не знайшла.,0
Новий допис в блозі: «Штати очима українця 2»,0
"Люди діляться на два типи: ті, які люблять зелене яблуко і ті, які люблять червоне.",0
"Заодно вже приблизно знаю, що точно не прийомний.",0
"Ходжу на футбол заради гімну, а сьогодні шось запороли.",0
